Product Title,Description,Price,Image Source
West Elm Slatted Bar Cabinet / Small Console,"I have a West Elm Slatted Bar Cabinet / Small Console for sale. It is opened box, with scuff on the top and on the door track, overall in excellent condition.

Metal legs in a Dark Bronze finish.
2 sliding doors.
1 adjustable shelf behind each door.
Wine rack holds 6 bottles

Overall: 32""w x 18""d x 36""h.
Int. compartment: 30.5""w x 15.2""d x 26.5""h.
Clearance underneath: 8.6"".
Product weight: 79 lbs.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$440,https://images.craigslist.org/00B0B_jZOmYYkY2y1_0uY0pj_600x450.jpg
West Elm Portside Outdoor Concrete Grand Bar,"I have a West Elm Portside Outdoor Concrete Grand Bar for sale. It is opened box, there is a chip on the concrete surface.

Color: Weathered Grey
Grand Bar: Glass fiber reinforced concrete top inlay with moisture-resistant solid mahogany and solid eucalyptus wood with wire-brushed surface.
Includes 1 adjustable shelves and 1 door.
Built-in wine glass rack holds four standard sized glasses.
Attached bottle opener and hook.
Integrated stainless steel bucket for ice and drink storage.

Overall dimensions: 62.1""w x 29.1""d x 41.7""d.
Int. compartment: 17""w x 15.5""d x 21""h.
Leg spacing (widthwise): 36.5"".
Leg spacing (lengthwise): 15.1"".
Overhang (front/back): 8.6"".
Overhang (at sides): 8.2"".
Clearance underneath: 3.1"".
Top thickness: 3.2"".
Product weight: 190.5 lbs.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$840,https://images.craigslist.org/00u0u_5gUnYZsxRCC_0hI0ie_600x450.jpg
West elm Austin leather swivel chair  chestnut used,"I have a West elm Austin leather swivel chair for sale. It is used, light fading on the right, loose threading right arm, pen marks on leather as pictured and other small blemishes on the leather.

Aspen Leather, Chestnut, 
Polished Nickel Base
360-degree swivel base
Loose non-reversible seat cushion

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$760,https://images.craigslist.org/00q0q_liqnvqB21Xh_0uY0ne_600x450.jpg
"West Elm Andes 76.5"" Sofa Dijon","I have a West Elm Andes 76.5"" Sofa  for sale. It is used in like new condition.

Fabric:Astor Velvet, Dijon
Blackened Brass legs
Overall: 76.5""w x 40""d x 32""h.

Price is firm + tax picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only.

Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$900,https://images.craigslist.org/00u0u_j1ChckhleUbz_0k20hN_600x450.jpg
(Set of 3) West Elm Slope Leather Bar Stool Gray,"I have a (Set of 3) West Elm Slope Leather Bar Stool Grey  for sale. It is opened box, with scratches on the frame, scuff on the leather. Price is for all 3 bar stools

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$540,https://images.craigslist.org/00S0S_ikLwunRruK9_0uY0ne_600x450.jpg
"West Elm Haven 84"" Sofa (Canvas, Gray)","I have a West Elm Haven 84"" Sofa (Canvas, Gray)  for sale. Opened box in excellent condition. Small snag on the fabric near the bottom of the sofa.

Fabric: Performance Canvas, Storm Gray
Dimensions: 86""w x 37""d x 32.5""h.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$800,https://images.craigslist.org/00o0o_iNk7YP5KQOk_0uY0s9_600x450.jpg
West Elm Cooper Mid-Century Leather Swivel Office Chair,"I have a West Elm Cooper Mid-Century Leather Swivel Office Chair for sale. It is opned box.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$280,https://images.craigslist.org/00p0p_gqUD6DU85L1_0lM0t2_600x450.jpg
"West Elm Axel Leather Sofa 60"" Loveseat","I have a West Elm Axel Leather Sofa 60"" Loveseat for sale. It is used in good condition, sign of wear and, fading on the back of the sofa.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com","$1,000",https://images.craigslist.org/01010_96O7pp2mB36_0uY0ne_600x450.jpg
"West Elm Haven Loft 76"" Sofa Bench Cushion Black","I have a West Elm Haven Loft 76"" Sofa Bench Cushion Black for sale. It is used in like new condition.

Fabric and Color: Black, Performance Velvet

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$600,https://images.craigslist.org/00N0N_dP6XTCmATDe_0uY0ne_600x450.jpg
West Elm Andes Low Profile Bed (Full) Twill Vertical Tufted,"I have a West Elm Andes Low Profile Bed (Full) Twill Vertical Tuftedfor sale. It is used for staging in like new condition. please note that headboard height is 8” lower than standard height of 46”. One screw is strip, but the bed can be assembled with rest of the hardware. Sale as is.


Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$480,https://images.craigslist.org/00l0l_joLF0f2eulu_08r08r_600x450.jpg
Thomasville Marion Fabric Sleeper Convertible Sofa (White),"I have a Thomasville Marion Fabric Sleeper Convertible Sofa (White) for sale. It is opened box. Multiple spot of stain over the sofa. Back cushion cover can be remove and machine wash. 

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$500,https://images.craigslist.org/00L0L_8A05cuTMMy5_0uY0ne_600x450.jpg
"West Elm Avery Wishbone Dining Table 74"" Cool Walnut/Brass","I have a West Elm Avery Wishbone Dining Table 74"" Cool Walnut/Brass for sale. It is opened box in like new condition, please note that there are 2 blemishes spot at leg as pictured 


Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$480,https://images.craigslist.org/00W0W_9W1hTZDnVzu_0uY0ne_600x450.jpg
West Elm Mid-Century Bar Cabinet - Acorn,"I have a West Elm Mid-Century Bar Cabinet - Acorn for sale. It is opened box in like new condition

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$500,https://images.craigslist.org/00K0K_bv37pqC02xR_0uY0ne_600x450.jpg
(Set of 2) West Elm Metalwork Nightstand side table (white),"I have a (Set of 2) West Elm Metalwork Nightstand side table (white) for sale. 1 is opened box, another one is new in box.

Color: Hot Rolled Steel Finish, White
Top: Marble

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$400,https://images.craigslist.org/00R0R_cEaUHD7rNtN_0lM0t2_600x450.jpg
"West Elm Mid Century Slatted Shallow Media Console, Walnut/Antique Bro","I have a West Elm Mid Century Slatted Shallow Media Console, Walnut/Antique Bronzefor sale. It is opened box, with a nick on the front.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$400,https://images.craigslist.org/00z0z_8dJicm5X3a3_0uY0nd_600x450.jpg
West Elm Urban L shaped sectional sofa charcoal,"I have a West Elm Urban L shaped sectional sofa charcoal  for sale. It is in good condition, piling on the cushion cover and small cut on one of the back cushion. Retail for $5197

Left arm 2seat sofa (66.5”) + Right arm 2 seat (66.5”) + Corner

Fabric and color: Heathered Tweed, Charcoal
Overall : 105.5""w x 105.5""d x 31""h

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com","$1,500",https://images.craigslist.org/01616_6IssZEyLa8U_0uY0oZ_600x450.jpg
**Mid-Century Modern Accent Chair with Flared Arms~Brand New***,"Accent Chair- $299

This eye-catching mid-century modern accent chair offers up a vintage vibe with its contoured design and slim legs. A biscuit tufted backrest offers modern take on the classic wingback design with flared corners. Narrow, softly flared arms further lend to the retro look too. The relaxing seat is wrapped in a soft woven fabric, inviting you to rest comfortably. Resting on narrow, flared metal legs in a black finish, this accent chair offers an eclectic, playful charm to a space.
Width: 29.00, Depth: 31.50 Height: 38.00

~Call or text nine two five, nine zero five, one nine eight five
~Can deliver for $50-$75",$299,https://images.craigslist.org/00l0l_4qkzZAL7BO3z_05807g_600x450.jpg
(Set of 2) West Elm Slope Outdoor Counter Stool,"I have a (Set of 2) West Elm Slope Outdoor Counter Stool for sale. It is opened box in good condition.

Price is  pre- tax firm picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept cash, zelle and cash app only. 
Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com",$320,https://images.craigslist.org/01010_49fyTsMo4Oh_0lM0t2_600x450.jpg
"West Elm Dekalb 3 Seater Sofa 96"" Stowe Leather Chocolate","I have a West Elm Dekalb 3 Seater Sofa 96"" Stowe Leather Chocolate for sale. It is opened box.

It is wrapped in Stowe Leather Chocolate, Acorn Finish legs
Size: 96""w x 38""d x 33""h

Price is firm + tax picked up in Hayward. If you are seeing this post, that means it is still available for sale. Please do not ask the obvious. Delivery can be arranged for additional fee. Accept Cash/Zelle/CashApp only.

Follow us on Instagram @castleandchair for more information.

If you are not able to find what you are looking for, feel free to view my full list of inventory at castleandchair.com","$1,550",https://images.craigslist.org/00k0k_fHzYJ4qRhMKz_09G07g_600x450.jpg
Antique Nutmeg Bar Unit with Lots of Shelves! NEW!,"Horizontal Bar Unit- $375

This is an artful, asymmetrical use and storage solution for the wine connoisseur who craves eye-catching style along with practicality. Four roomy vertical compartments allow for intelligent storage of bottles or glasses, with an additional, striking diagonal wine storage unit nestled into the structure. A long horizontal wood surface creates further open, creative storage units, or just stand at the bar and enjoy your drink with friends. The design of this unit allows for placement on the open floor, or alongside a wall for maximum utility in a tight space. It's a smart and elegant solution; if only wine pairings were this easy!

Width: 64.75 in Depth: 15.5 in Height: 72.5 in

~Call or text nine two five, nine zero five, one nine eight five 
~Can deliver for $50-$75",$375,https://images.craigslist.org/00h0h_lmYbHIbeCL2z_05R07g_600x450.jpg
Old Steelcase office lounge chair,"Vintage Steelcase chair, in perfect/new condition. Leans back at a very comfortable angle, with spring tension adjustable. The pictures show a muted green, but in actuality it is a very vibrant bright green. Perfect for home office or as a comfy reading chair.",$160,https://images.craigslist.org/00H0H_a5HNiIUHVZg_0t20CI_600x450.jpg
Vintage metal barristers book case with glass covers,"1968 vintage industrial mid century modern office or laboratory barristers metal bookcase, in very good condition with sliding glass doors on all cases. Perfect for a bar or library. Also would make nice terrarium / plant compartments. Stackable separate units fit into registration edges on top and bottom. All sections can be removed to customize height of the stack. Approx 5.5 ft tall as shown. One more cabinet section is available, shown with its on legs/stand, which can be stacked onto the three if desired, with a height of 6.5ft. The short stack one case with base is available separately for $250. Made by Jebco / Globe Wernicke.",$800,https://images.craigslist.org/01313_30HatIGKCrO_0t20CI_600x450.jpg
"Jarvis Adjustable Desk 27""x42"" with 3 stage lift and 4 memory settings",Jarvis height adjustable desk with 3 stage lift and 4 memory settings. The power gromet included is shown in the last picture. Bamboo top and white base. Perfect condition.,$400,https://images.craigslist.org/00P0P_3kYEmB8YMvm_07K0ak_600x450.jpg
BEAUTIFUL DELUXE ERGONOMIC 9 TO 5 SEATING MESH OFFICE ARM CHAIR,"BEAUTIFUL DELUXE ERGONOMIC 9 TO 5 MESH OFFICE / CONFERENCE ARM CHAIR WITH 4 INCH CUSHION in perfect condition, paid for $429, selling for $50. If interested, please call  
 or call/text  
. Thank you!


Fully loaded with quality features.
       Adjustable height

      A sharply designed nylon frame braces a mesh screen back that delicately cradles the curves of your spine with build in lumbar support.",$50,https://images.craigslist.org/00K0K_cJ1o34gnbUk_0pO0CI_600x450.jpg
Wrought Iron Chairs DIY,"(4) Green Wrought Iron Chairs ready for your DIY project.
I was going to do and probably won't so someone else
gets to benefit.
Seat height 17.5""
Seat measures 15.25"" wide x 15.5 deep.
Good opportunity for you to cover it with whatever design
you like.  Make them to your own liking.
3 regular chairs and 1 chair with arms.
Nice sturdy set.

outdoor, patio, furniture, seating,",$419,https://images.craigslist.org/00B0B_1lincW2VGuY_0CI0lM_600x450.jpg
Wayfair solid wood dresser,Used in excellent condition. 60L x 18W x 34H,$300,https://images.craigslist.org/00z0z_i5xSZHgkXTU_0CI0t2_600x450.jpg
Mid century modern tv stand,Purchased about 6 months ago. 62L x 20H x 15D,$120,https://images.craigslist.org/00o0o_1bR6rcwbqc7_0CI0t2_600x450.jpg
Real Wood Table - Top sanded and ready to refinish,"Solid wood table. Top is sanded and ready for any finish you want. (Covered in plastic in pics)
Moving - must go!!",$35,https://images.craigslist.org/00p0p_dvURL8KGbd5_0lN0CI_600x450.jpg
Desk,Has some cosmetic blemishes. 43L x 19.5D x 30H,$40,https://images.craigslist.org/00y0y_2w1t8hW5dxU_0CI0t2_600x450.jpg
Ikea Malm queen bed frame,"Used in good condition besides some cosmetic blemishes with veneer peeling on the foot board and side rail (pictured)
Currently dissembled ready for pick up.",$120,https://images.craigslist.org/00G0G_bOV8MXmeYTw_0CI0rR_600x450.jpg
World Market wooden outdoor furniture patio set,"Used in good condition. There are some imperfections in the paint from repainting (pictured)
Cushions are a bit dusty but are lightweight and can be thrown in washer. Message me if you’re interested!",$250,https://images.craigslist.org/00e0e_cAFAGTaYTmG_0CI0t2_600x450.jpg
Black Ikea Malm queen size bed frame,Used in great condition. Currently dissembled ready for pick up.,$150,https://images.craigslist.org/00Y0Y_gLTsOX9krJg_0CI0rH_600x450.jpg
White Ikea side table,"It has some cosmetic blemish pictured.
18W x 18L x 17H",$10,https://images.craigslist.org/00L0L_aoCB7PzFRKm_0t20CI_600x450.jpg
